subj,ntrial,nbloc,langue,sent_dur,fname,sent_onset
15,1,0,wol,2994,wol3173_22050_1p15_LPF.wav,1500
15,2,0,wol,2729,wol3158_22050_1p15_LPF.wav,5794
15,3,0,wol,3059,wol3188_22050_1p15_LPF.wav,9823
15,4,1,wol,2881,wol3162_22050_1p15_LPF.wav,17882
15,5,1,wol,3496,wol3192_22050_1p15_LPF.wav,22063
15,6,1,wol,2754,wol3153_22050_1p15_LPF.wav,26859
15,7,2,fr,2728,fr_localizer-07-2_0p82.wav,34613
15,8,2,fr,3458,fr_localizer-13_0p82.wav,38641
15,9,2,fr,3225,fr_localizer-11_0p82.wav,43399
15,10,3,ch,3249,ch_localizer_10_shorten_90.wav,51624
15,11,3,ch,3607,ch_localizer_11_shorten_88.wav,56173
15,12,3,ch,2715,ch_localizer_18.wav,61080
15,13,4,wol,3122,wol3165_22050_1p15_LPF.wav,68795
15,14,4,wol,2869,wol3154_22050_1p15_LPF.wav,73217
15,15,4,wol,3494,wol3184_22050_1p15_LPF.wav,77386
15,16,5,fr,4238,fr_localizer-22_0p82.wav,85880
15,17,5,fr,3709,fr_localizer-18-2_0p82.wav,91418
15,18,5,fr,3380,fr_localizer-17_0p82.wav,96427
15,19,6,ch,3029,ch_localizer_21_trimmed_shorten_88.wav,104807
15,20,6,ch,3183,ch_localizer_22_shorten_86.wav,109136
15,21,6,ch,3061,ch_localizer_16_shorten_85.wav,113619
15,22,7,wol,3540,wol3201_22050_1p15_LPF.wav,121680
15,23,7,wol,3200,wol3168_22050_1p15_LPF.wav,126520
15,24,7,wol,3319,wol3187_22050_1p15_LPF.wav,131020
15,25,8,fr,3065,fr_localizer-16_0p82.wav,139339
15,26,8,fr,3796,fr_localizer-23_0p82.wav,143704
15,27,8,fr,2860,fr_localizer-05_0p82.wav,148800
15,28,9,ch,3013,ch_localizer_14_shorten_88.wav,156660
15,29,9,ch,4544,ch_localizer_12_shorten_82.wav,160973
15,30,9,ch,2773,ch_localizer_07_trim88.wav,166817
15,31,10,wol,2467,wol3156_22050_1p15_LPF.wav,174590
15,32,10,wol,3636,wol3206_22050_1p15_LPF.wav,178357
15,33,10,wol,3411,wol3175_22050_1p15_LPF.wav,183293
15,34,11,fr,3545,fr_localizer-02_0p82.wav,191704
15,35,11,fr,3097,fr_localizer-15_0p82.wav,196549
15,36,11,fr,2719,fr_localizer-01_0p82.wav,200946
15,37,12,ch,3099,ch_localizer_13_shorten_85.wav,208665
15,38,12,ch,3524,ch_localizer_09_shorten_87.wav,213064
15,39,12,ch,2862,ch_localizer_24_shorten_822.wav,217888
15,40,13,wol,3336,wol3167_22050_1p15_LPF.wav,225750
15,41,13,wol,3200,wol3178_22050_1p15_LPF.wav,230386
15,42,13,wol,2860,wol3157_22050_1p15_LPF.wav,234886
15,43,14,fr,3384,fr_localizer-19.wav,242746
15,44,14,fr,2792,fr_localizer-06_0p82.wav,247430
15,45,14,fr,3577,fr_localizer-20_0p82.wav,251522
15,46,15,ch,3421,ch_localizer_01_873.wav,260099
15,47,15,ch,2994,ch_localizer_02_876.wav,264820
15,48,15,ch,3654,ch_localizer_05_875.wav,269114
15,49,16,wol,3098,wol3161_22050_1p15_LPF.wav,277768
15,50,16,wol,4198,wol3214_22050_1p15_LPF.wav,282166
15,51,16,wol,3249,wol3186_22050_1p15_LPF.wav,287664
15,52,17,fr,3362,fr_localizer-10_0p82.wav,295913
15,53,17,fr,2846,fr_localizer-04_0p82.wav,300575
15,54,17,fr,3047,fr_localizer-03-2_0p82.wav,304721
15,55,18,ch,3288,ch_localizer_03_shorten86.wav,312768
15,56,18,ch,3950,ch_localizer_08_shorten_80.wav,317356
15,57,18,ch,3419,ch_localizer_20_shorten_85.wav,322606
15,58,99,,1000,silent-1sec.wav,331025
