onset_time	duration	type	cond	stimuli
0	350	IMAGE_STREAM	motor_visual	press.png:350:50~left.png:350:50~three.png:350:50~times.png:350:50
4000	1600	SOUND	sounds	sound_08.wav
6000	1208	SOUND	sentences_reversed	control_07.wav
8000	4000	IMAGE	rest	rest.png
12000	350	IMAGE_STREAM	disks_random	disk_frame_6.png:350:50~disk_frame_7.png:350:50~disk_frame_5.png:350:50~disk_frame_3.png:350:50
14000	1200	IMAGE	equations	7+1.png
16000	1146	SOUND	sentences_audio	sentence_08.wav
18000	1273	SOUND	equations_audio	equation_1.wav
22000	350	IMAGE_STREAM	wedges	wedge_4.png:350:50~wedge_6.png:350:50~wedge_2.png:350:50~wedge_5.png:350:50
24000	300	SOUND_STREAM	tones_regular	tone_09_440Hz.wav:300:100~tone_08_403Hz.wav:300:100~tone_07_370Hz.wav:300:100~tone_06_339Hz.wav:300:100
26000	1866	SOUND	motor_audio	press-left.wav
30000	350	IMAGE_STREAM	consonants	snhkr.png:350:50~tgmts.png:350:50~dngns.png:350:50~tcnht.png:350:50
32000	350	IMAGE_STREAM	sentences	every.png:350:50~child.png:350:50~needs.png:350:50~sleep.png:350:50
34000	300	SOUND_STREAM	tones_random	tone_03_261Hz.wav:300:100~tone_05_311Hz.wav:300:100~tone_09_440Hz.wav:300:100~tone_07_370Hz.wav:300:100
36000	350	IMAGE_STREAM	faces	face_008.png:350:50~face_052.png:350:50~face_018.png:350:50~face_033.png:350:50
38000	350	IMAGE_STREAM	disks_regular	disk_frame_3.png:350:50~disk_frame_4.png:350:50~disk_frame_5.png:350:50~disk_frame_6.png:350:50
40000	350	IMAGE_STREAM	houses	house_053.png:350:50~house_065.png:350:50~house_138.png:350:50~house_113.png:350:50
42000	350	IMAGE_STREAM	rings	ring_1.png:350:50~ring_8.png:350:50~ring_7.png:350:50~ring_3.png:350:50
44000	1090	SOUND	sentences_audio	sentence_06.wav
46000	350	IMAGE_STREAM	houses	house_049.png:350:50~house_074.png:350:50~house_067.png:350:50~house_129.png:350:50
48000	300	SOUND_STREAM	tones_regular	tone_07_370Hz.wav:300:100~tone_05_311Hz.wav:300:100~tone_03_261Hz.wav:300:100~tone_01_220Hz.wav:300:100
50000	350	IMAGE_STREAM	consonants	trswn.png:350:50~nrpws.png:350:50~nrvsr.png:350:50~stlnh.png:350:50
52000	350	IMAGE_STREAM	sentences	those.png:350:50~kings.png:350:50~order.png:350:50~bread.png:350:50
54000	350	IMAGE_STREAM	wedges	wedge_7.png:350:50~wedge_1.png:350:50~wedge_8.png:350:50~wedge_3.png:350:50
56000	4000	IMAGE	rest	rest.png
60000	1090	SOUND	sentences_reversed	control_06.wav
62000	350	IMAGE_STREAM	motor_visual	press.png:350:50~right.png:350:50~three.png:350:50~times.png:350:50
66000	1866	SOUND	motor_audio	press-left.wav
70000	1200	IMAGE	equations	8+1.png
72000	1600	SOUND	sounds	sound_01.wav
74000	350	IMAGE_STREAM	faces	face_007.png:350:50~face_053.png:350:50~face_010.png:350:50~face_096.png:350:50
76000	350	IMAGE_STREAM	disks_random	disk_frame_5.png:350:50~disk_frame_2.png:350:50~disk_frame_8.png:350:50~disk_frame_6.png:350:50
78000	300	SOUND_STREAM	tones_random	tone_09_440Hz.wav:300:100~tone_03_261Hz.wav:300:100~tone_05_311Hz.wav:300:100~tone_07_370Hz.wav:300:100
80000	350	IMAGE_STREAM	disks_regular	disk_frame_4.png:350:50~disk_frame_3.png:350:50~disk_frame_2.png:350:50~disk_frame_1.png:350:50
82000	1368	SOUND	equations_audio	equation_4.wav
86000	350	IMAGE_STREAM	rings	ring_5.png:350:50~ring_2.png:350:50~ring_4.png:350:50~ring_6.png:350:50
88000	350	IMAGE_STREAM	houses	house_021.png:350:50~house_059.png:350:50~house_044.png:350:50~house_109.png:350:50
