word,swap_pos
ABOUT,2
ABOVE,3
AFTER,4
AGENT,1
ALONG,2
AMONG,3
BLACK,4
BLAME,1
BLIND,2
BLOCK,3
BOARD,4
BRAIN,1
BRAND,2
BREAD,3
BREAK,4
BRING,1
BUILD,2
CAUSE,3
CHAIR,4
CHART,1
CHEST,2
CHIEF,3
CHILD,4
CLAIM,1
CLEAN,2
CLEAR,3
CLOUD,4
COUNT,1
COURT,2
COVER,3
CRIME,4
DANCE,1
DEATH,2
DOUBT,3
DREAM,4
DRINK,1
DRIVE,2
EARTH,3
EIGHT,4
ENJOY,1
ENTRY,2
EQUAL,3
EXTRA,4
FAITH,1
FIELD,2
FIGHT,3
FINAL,4
FIRST,1
FOCUS,2
FOUND,3
FRAME,4
FRESH,1
FRONT,2
FRUIT,3
GIANT,4
GRADE,1
GRAND,2
GRANT,3
GREAT,1
GROUP,4
GUARD,2
GUIDE,3
HEART,4
HEAVY,1
HORSE,2
HOTEL,3
HOUSE,4
HUMAN,1
IMAGE,2
INDEX,3
JUDGE,4
KNIFE,1
LARGE,2
LATER,3
LEARN,4
LIGHT,1
LUNCH,2
MAGIC,3
MAJOR,4
MARCH,1
MATCH,2
METAL,3
MIGHT,4
MODEL,1
MONTH,2
MOUTH,3
MUSIC,4
NIGHT,1
NORTH,2
NOVEL,3
OCEAN,4
OTHER,1
PAINT,2
PANEL,3
PHONE,4
PIANO,1
PILOT,2
PLACE,3
PLANT,4
PLATE,1
