# Rush Hour puzzle library — 49 puzzles in increasing order of difficulty,
# from 3 to 51 moves.
#
# Format:   <name>: <minimum moves>: <36-character board>
#
# The board is read row-major over the 6x6 grid, one character per cell:
#   o (or .)   empty cell
#   A          the red target car (always horizontal, always on row 2)
#   B, C, ...  the other vehicles (2 or 3 cells, horizontal or vertical)
#
# The minimum-move count treats one slide of a vehicle, over any distance, as a
# single move. Blank lines and everything after a '#' are ignored. Every line is
# validated at startup, and TestEmbeddedPuzzles re-solves each board by
# breadth-first search to check both the count and the ordering.
#
# Source: the boards were selected from Michael Fogleman's exhaustive Rush Hour
# database (https://www.michaelfogleman.com/rush/, 2.5 million puzzles), keeping
# wall-free positions with at least 8 vehicles, then re-scored with the solver in
# board_test.go. p02 is the board of the original pygame program.

p01:  3: GBBCCC GIDDEE HIAAMN HJKoMN oJKLMO FFKLoO   # 15 vehicles
p02:  4: BCCCoo BoooDo oAAEDo oooEoo FFoEoo ooGGGo   #  7 vehicles — the classic pygame board
p03:  5: oEoBBB oEoGoH AAoGoH oFCCoo oFoooo oFoDDD   #  8 vehicles
p04:  6: GIBBCC GIoJoo GAAJoo HDDDoo HoEEoo FFoooo   # 10 vehicles
p05:  7: IBBBCC IDDooL IAAooL JKEEFF JKoooo GGGHHo   # 12 vehicles
p06:  8: oBBBCC DDoJoK HAAJoK HEEEFF Iooooo IoGGoo   # 11 vehicles
p07:  9: HJBBCC HJoooo HJKAAL DDKEEL IFFGGG Iooooo   # 12 vehicles
p08: 10: BBBCCK oDDDoK AAoJoK oIoJEE oIoFFF oGGHHH   # 11 vehicles
p09: 11: oBBBCC ooHDDD AAHIJK oEEIJK ooooJL oFFGGL   # 12 vehicles
p10: 12: oBBKCC oDDKoL oHIAAL oHIEEM ooJooM FFJoGG   # 13 vehicles
p11: 13: FGBBCC FGoJKo oAAJKo ooIJDD oHIooL oHIEEL   # 12 vehicles
p12: 14: BBCCCo DDEELo IAAoLo IFFooo JKGGHH JKoooo   # 12 vehicles
p13: 15: oHJooo FHJBBB FAAKoo GCCKLo GIDDLo oIEEoo   # 12 vehicles
p14: 16: oFBBKL oFHJKL AAHJoo EGIJCC EGIooM EDDooM   # 13 vehicles
p15: 17: ooJBBo GoJKCC GAAKoo HIoKDD HIEELo FFooLo   # 12 vehicles
p16: 18: GBBCCC GDDKLM AAJKLM HIJEEN HIoooN FFFooN   # 14 vehicles
p17: 19: GHIoBB GHIoJL GAAoJL CCDDKL EEooKo FFoooo   # 12 vehicles
p18: 20: ooFooo ooFHJK AAGHJK BBGIoL ECCIoL EDDDoL   # 12 vehicles
p19: 21: BBCCoK HoDDoK HoAAoL EEEJoL ooIJFF ooIJGG   # 12 vehicles
p20: 22: oGBBBL oGCCJL AAHIJM DDHIKM FEEoKo Fooooo   # 13 vehicles
p21: 23: ooGBBB ooGCCK AAHIoK DDHIJL FEEIJL Fooooo   # 12 vehicles
p22: 24: oIBBCC oIDDDM AAJKoM HoJKEE HoFFLo GGooLo   # 13 vehicles
p23: 25: JBBCCC JDDooM JAAoLM EEFFLM oKGGHH oKooII   # 13 vehicles
