stimulus	nblettres	freqlemfilms2	ifreq	wtype	word
aisé	4	3.03	1	0	aisé
rime	4	3.08	1	0	rime
mâle	4	3.09	1	0	mâle
dock	4	3.1	1	0	dock
lave	4	3.13	1	0	lave
yack	4	3.15	1	0	yack
yoga	4	3.17	1	0	yoga
croc	4	3.19	1	0	croc
sève	4	3.19	1	0	sève
elfe	4	3.26	1	0	elfe
ruer	4	3.27	1	0	ruer
guet	4	3.29	1	0	guet
haie	4	3.36	1	0	haie
sire	4	3.37	1	0	sire
fief	4	3.38	1	0	fief
vomi	4	3.52	1	0	vomi
gale	4	3.52	1	0	gale
lobe	4	3.58	1	0	lobe
tôle	4	3.58	1	0	tôle
pôle	4	3.59	1	0	pôle
gêne	4	3.62	1	0	gêne
tige	4	3.73	1	0	tige
brut	4	3.86	1	0	brut
gala	4	3.9	1	0	gala
iris	4	3.93	1	0	iris
dune	4	3.96	1	0	dune
raid	4	3.98	1	0	raid
flux	4	4.07	1	0	flux
plan	4	4.08	1	0	plan
cale	4	4.08	1	0	cale
diva	4	4.16	1	0	diva
ride	4	4.2	1	0	ride
turc	4	4.25	1	0	turc
taxe	4	4.34	1	0	taxe
rame	4	4.38	1	0	rame
abbé	4	4.46	1	0	abbé
poli	4	4.68	1	0	poli
bond	4	4.69	1	0	bond
abus	4	4.75	1	0	abus
grue	4	4.76	1	0	grue
sofa	4	4.77	1	0	sofa
pion	4	4.91	1	0	pion
zèle	4	4.92	1	0	zèle
toux	4	4.94	1	0	toux
ravi	4	5.02	1	0	ravi
coût	4	5.04	1	0	coût
aigu	4	5.08	1	0	aigu
obus	4	5.13	1	0	obus
trac	4	5.17	1	0	trac
case	4	5.18	1	0	case
solo	4	5.22	1	0	solo
issu	4	5.24	1	0	issu
mime	4	5.35	1	0	mime
scie	4	5.36	1	0	scie
brin	4	5.38	1	0	brin
nage	4	5.42	1	0	nage
rite	4	5.43	1	0	rite
pieu	4	5.45	1	0	pieu
roux	4	5.52	1	0	roux
aire	4	5.54	1	0	aire
surf	4	5.57	1	0	surf
cire	4	5.59	1	0	cire
gain	4	5.6	1	0	gain
élan	4	5.66	1	0	élan
thon	4	5.88	1	0	thon
exil	4	6.04	1	0	exil
cure	4	6.08	1	0	cure
cape	4	6.25	1	0	cape
aîné	4	6.27	1	0	aîné
rhum	4	6.29	1	0	rhum
maïs	4	6.33	1	0	maïs
écho	4	6.65	1	0	écho
foin	4	6.73	1	0	foin
loto	4	6.75	1	0	loto
rude	4	6.85	1	0	rude
pape	4	7.17	1	0	pape
pâté	4	7.18	1	0	pâté
rien	4	7.26	1	0	rien
suer	4	7.28	1	0	suer
jazz	4	7.38	1	0	jazz
visa	4	7.39	1	0	visa
duel	4	7.54	1	0	duel
cerf	4	7.56	1	0	cerf
naïf	4	7.91	1	0	naïf
rive	4	7.92	1	0	rive
gène	4	8.07	1	0	gène
pois	4	8.09	1	0	pois
flou	4	8.18	1	0	flou
mile	4	8.34	1	0	mile
veuf	4	8.39	1	0	veuf
paie	4	8.4	1	0	paie
tank	4	8.41	1	0	tank
bouc	4	8.49	1	0	bouc
lard	4	8.62	1	0	lard
veau	4	8.66	1	0	veau
clan	4	8.83	1	0	clan
seau	4	9.01	1	0	seau
soit	4	9.02	1	0	soit
futé	4	9.23	1	0	futé
rail	4	9.31	1	0	rail
boxe	4	9.32	1	0	boxe
mule	4	9.62	1	0	mule
mars	4	9.75	1	0	mars
