stimulus,category,length
CLOCK,word,5
TRAIN,word,5
SMART,word,5
BREAD,word,5
GREEN,word,5
HEAVY,word,5
TROAT,pseudo,5
BLIGH,pseudo,5
PLAME,pseudo,5
FRINK,pseudo,5
STIPE,pseudo,5
GLAUP,pseudo,5
WINTER,word,6
BRIGHT,word,6
MONKEY,word,6
FLOWER,word,6
SILENT,word,6
BRIDGE,word,6
THRAST,pseudo,6
BLOUCH,pseudo,6
SPREED,pseudo,6
FLUMPT,pseudo,6
CLONCE,pseudo,6
DRALER,pseudo,6
KITCHEN,word,7
BLANKET,word,7
STRANGE,word,7
WEATHER,word,7
PERFECT,word,7
JOURNEY,word,7
PLASTIC,word,7
GLINTER,pseudo,7
STREMPT,pseudo,7
CHALMEY,pseudo,7
TROWLES,pseudo,7
SPLUNCH,pseudo,7
BRINKLE,pseudo,7
PLOCKEN,pseudo,7
BUILDING,word,8
HOSPITAL,word,8
FREQUENT,word,8
MOUNTAIN,word,8
STANDARD,word,8
TROPICAL,word,8
ABSENTEE,word,8
FLUNDING,pseudo,8
GRIFFLES,pseudo,8
SWELCHED,pseudo,8
PRONKERY,pseudo,8
STREMPED,pseudo,8
THRASTED,pseudo,8
CLOWRING,pseudo,8
BEAUTIFUL,word,9
CHARACTER,word,9
DIFFERENT,word,9
APARTMENT,word,9
IMPORTANT,word,9
PRINCIPLE,word,9
CHOCOLATE,word,9
TRALICATE,pseudo,9
SPRECHING,pseudo,9
BLENDMENT,pseudo,9
PRONKABLE,pseudo,9
CROWLINGS,pseudo,9
FLANNERED,pseudo,9
STRAMPING,pseudo,9
EXPERIMENT,word,10
GOVERNMENT,word,10
RESTAURANT,word,10
SUCCESSFUL,word,10
MYSTERIOUS,word,10
TELEVISION,word,10
ATTRACTIVE,word,10
THRASTMENT,pseudo,10
PLANDIMENT,pseudo,10
CRINKLEPOM,pseudo,10
STREMPABLE,pseudo,10
SLUBBYNING,pseudo,10
BLOWNINGLY,pseudo,10
PLASTATIVE,pseudo,10
