Type,Onset,Duration,DurationCorrected
TTLin1,5567.750,183.500,183.500
Opto1,5589.250,224.750,204.750
TTLin1,6067.750,183.250,183.250
Opto1,6089.000,224.500,204.500
TTLin1,6567.500,183.250,183.250
Opto1,6588.750,224.250,204.250
TTLin1,7067.250,183.250,183.250
Opto1,7088.750,224.000,204.000
TTLin1,7567.000,183.250,183.250
Opto1,7588.250,224.500,204.500
TTLin1,8066.750,183.250,183.250
Opto1,8088.000,224.500,204.500
TTLin1,8566.500,183.250,183.250
Opto1,8587.750,224.500,204.500
TTLin1,9066.250,183.250,183.250
Opto1,9087.500,224.500,204.500
TTLin1,9565.750,183.250,183.250
Opto1,9587.000,224.500,204.500
TTLin1,10065.750,183.250,183.250
Opto1,10087.000,224.250,204.250
TTLin1,10565.250,183.250,183.250
Opto1,10586.500,224.250,204.250
TTLin1,11065.000,183.250,183.250
Opto1,11086.250,224.500,204.500
TTLin1,11564.750,183.250,183.250
Opto1,11586.000,224.250,204.250
TTLin1,12064.500,183.250,183.250
Opto1,12085.500,224.750,204.750
TTLin1,12564.250,183.000,183.000
Opto1,12585.500,224.250,204.250
TTLin1,13063.750,183.500,183.500
Opto1,13085.000,224.500,204.500
TTLin1,13563.750,183.250,183.250
Opto1,13584.750,224.500,204.500
TTLin1,14063.500,183.000,183.000
Opto1,14084.500,224.500,204.500
TTLin1,14563.000,183.250,183.250
Opto1,14584.250,224.250,204.250
TTLin1,15062.750,183.250,183.250
Opto1,15084.000,224.500,204.500
TTLin1,15562.500,183.250,183.250
Opto1,15583.750,224.250,204.250
TTLin1,16062.250,183.250,183.250
Opto1,16083.250,224.500,204.500
TTLin1,16561.750,183.250,183.250
Opto1,16583.000,224.500,204.500
TTLin1,17061.500,183.250,183.250
Opto1,17082.750,224.500,204.500
TTLin1,17561.250,183.250,183.250
Opto1,17582.500,224.250,204.250
TTLin1,18061.000,183.250,183.250
Opto1,18082.250,224.250,204.250
TTLin1,18560.750,183.250,183.250
Opto1,18581.750,224.500,204.500
TTLin1,19060.500,183.250,183.250
Opto1,19081.500,224.250,204.250
TTLin1,19560.250,183.000,183.000
Opto1,19581.250,224.500,204.500
TTLin1,20059.750,183.250,183.250
Opto1,20081.000,224.500,204.500
TTLin1,20559.500,183.250,183.250
Opto1,20580.750,224.500,204.500
TTLin1,21059.250,183.250,183.250
Opto1,21080.500,224.500,204.500
TTLin1,21559.000,183.250,183.250
Opto1,21580.000,224.500,204.500
TTLin1,22058.500,183.250,183.250
Opto1,22079.750,224.500,204.500
TTLin1,22558.250,183.250,183.250
Opto1,22579.500,224.500,204.500
TTLin1,23058.000,183.250,183.250
Opto1,23079.500,224.250,204.250
TTLin1,23557.750,183.250,183.250
Opto1,23579.000,224.500,204.500
TTLin1,24057.500,183.250,183.250
Opto1,24078.750,224.250,204.250
TTLin1,24557.000,183.250,183.250
Opto1,24578.500,224.250,204.250
TTLin1,25057.000,183.250,183.250
Opto1,25078.000,224.500,204.500
TTLin1,25556.750,183.000,183.000
Opto1,25578.000,224.250,204.250
TTLin1,26056.250,183.250,183.250
Opto1,26077.500,224.250,204.250
TTLin1,26556.000,183.250,183.250
Opto1,26577.250,224.250,204.250
TTLin1,27055.750,183.250,183.250
Opto1,27077.000,224.500,204.500
TTLin1,27555.500,183.250,183.250
Opto1,27576.500,224.750,204.750
TTLin1,28055.250,183.250,183.250
Opto1,28076.500,224.000,204.000
TTLin1,28555.000,183.000,183.000
Opto1,28576.000,224.500,204.500
TTLin1,29054.500,183.250,183.250
Opto1,29075.750,224.500,204.500
TTLin1,29554.250,183.250,183.250
Opto1,29575.500,224.500,204.500
TTLin1,30054.000,183.250,183.250
Opto1,30075.250,224.500,204.500
TTLin1,30553.750,183.250,183.250
Opto1,30575.000,224.250,204.250
TTLin1,31053.500,183.250,183.250
Opto1,31074.500,224.750,204.750
TTLin1,31553.000,183.250,183.250
Opto1,31574.250,224.500,204.500
TTLin1,32052.750,183.250,183.250
Opto1,32074.000,224.500,204.500
TTLin1,32552.500,183.250,183.250
Opto1,32573.500,224.500,204.500
TTLin1,33052.250,183.250,183.250
Opto1,33073.250,224.750,204.750
TTLin1,33552.000,183.250,183.250
Opto1,33573.250,224.250,204.250
TTLin1,34051.750,183.000,183.000
Opto1,34073.000,224.250,204.250
TTLin1,34551.250,183.500,183.500
Opto1,34572.750,224.250,204.250
TTLin1,35051.000,183.250,183.250
Opto1,35072.500,224.250,204.250
TTLin1,35550.750,183.250,183.250
Opto1,35572.000,224.500,204.500
TTLin1,36050.500,183.250,183.250
Opto1,36071.750,224.250,204.250
TTLin1,36550.250,183.250,183.250
Opto1,36571.500,224.250,204.250
TTLin1,37050.000,183.250,183.250
Opto1,37071.000,224.500,204.500
TTLin1,37549.500,183.250,183.250
Opto1,37570.750,224.500,204.500
TTLin1,38049.250,183.250,183.250
Opto1,38070.500,224.500,204.500
TTLin1,38549.000,183.250,183.250
Opto1,38570.250,224.500,204.500
TTLin1,39048.750,183.250,183.250
Opto1,39070.000,224.500,204.500
TTLin1,39548.500,183.250,183.250
Opto1,39569.500,224.750,204.750
TTLin1,40048.250,183.250,183.250
Opto1,40069.250,224.750,204.750
TTLin1,40547.750,183.250,183.250
Opto1,40569.000,224.500,204.500
TTLin1,41047.500,183.250,183.250
Opto1,41068.750,224.500,204.500
TTLin1,41547.250,183.250,183.250
Opto1,41568.500,224.500,204.500
TTLin1,42047.000,183.250,183.250
Opto1,42068.250,224.500,204.500
TTLin1,42546.750,183.250,183.250
Opto1,42568.000,224.500,204.500
