Type,Onset,Duration,DurationCorrected
Opto1,0.250,4390.250,4370.250
TTLin1,5417.250,5.000,5.000
Opto1,5450.000,224.500,204.500
TTLin1,5921.500,5.000,5.000
Opto1,5949.750,224.500,204.500
TTLin1,6421.250,5.000,5.000
Opto1,6449.500,224.500,204.500
TTLin1,6923.250,5.000,5.000
Opto1,6949.000,224.750,204.750
TTLin1,7422.750,5.000,5.000
Opto1,7449.000,224.500,204.500
TTLin1,7923.750,5.250,5.250
Opto1,7948.750,224.250,204.250
TTLin1,8423.500,5.250,5.250
Opto1,8448.250,224.500,204.500
TTLin1,8924.000,5.000,5.000
Opto1,8948.000,224.500,204.500
TTLin1,9423.750,5.000,5.000
Opto1,9447.750,241.000,221.000
TTLin1,9940.250,5.000,5.000
Opto1,9964.000,224.500,204.500
TTLin1,10439.750,5.000,5.000
Opto1,10463.750,224.500,204.500
TTLin1,10940.000,5.250,5.250
Opto1,10963.500,224.500,204.500
TTLin1,11439.750,5.000,5.000
Opto1,11463.000,241.500,221.500
TTLin1,11954.250,5.000,5.000
Opto1,11979.500,224.500,204.500
TTLin1,12454.250,5.250,5.250
Opto1,12479.250,224.500,204.500
TTLin1,12954.000,5.000,5.000
Opto1,12979.000,224.500,204.500
TTLin1,13453.500,5.250,5.250
Opto1,13478.750,224.500,204.500
TTLin1,13954.250,5.250,5.250
Opto1,13978.250,224.500,204.500
TTLin1,14454.250,5.250,5.250
Opto1,14478.250,224.500,204.500
TTLin1,14954.500,5.250,5.250
Opto1,14977.750,224.500,204.500
TTLin1,15454.500,5.000,5.000
Opto1,15477.500,224.500,204.500
TTLin1,15954.250,5.000,5.000
Opto1,15977.250,224.500,204.500
TTLin1,16453.750,5.250,5.250
Opto1,16477.000,224.500,204.500
TTLin1,16953.500,5.000,5.000
Opto1,16976.750,224.250,204.250
TTLin1,17453.250,5.250,5.250
Opto1,17476.500,224.250,204.250
TTLin1,17952.750,5.250,5.250
Opto1,17976.250,224.250,204.250
TTLin1,18452.750,5.000,5.000
Opto1,18475.750,224.500,204.500
TTLin1,18952.250,5.250,5.250
Opto1,18975.500,224.500,204.500
TTLin1,19452.000,5.250,5.250
Opto1,19475.000,241.500,221.500
TTLin1,19967.500,5.000,5.000
Opto1,19991.500,224.500,204.500
TTLin1,20467.500,5.000,5.000
Opto1,20491.500,241.000,221.000
TTLin1,20982.750,5.250,5.250
Opto1,21007.750,224.500,204.500
TTLin1,21482.750,5.000,5.000
Opto1,21507.250,224.750,204.750
TTLin1,21982.750,5.000,5.000
Opto1,22007.000,224.500,204.500
TTLin1,22482.750,5.000,5.000
Opto1,22507.000,224.250,204.250
TTLin1,22982.500,5.000,5.000
Opto1,23006.500,224.500,204.500
TTLin1,23482.250,5.000,5.000
Opto1,23506.250,224.500,204.500
TTLin1,23982.000,5.250,5.250
Opto1,24006.000,224.250,204.250
TTLin1,24481.750,5.250,5.250
Opto1,24505.750,241.000,221.000
TTLin1,24995.500,5.000,5.000
Opto1,25022.000,224.500,204.500
TTLin1,25495.000,5.000,5.000
Opto1,25521.750,224.500,204.500
TTLin1,25996.500,5.000,5.000
Opto1,26021.500,224.500,204.500
TTLin1,26496.250,5.000,5.000
Opto1,26521.250,224.250,204.250
TTLin1,26996.250,5.000,5.000
Opto1,27021.000,224.250,204.250
TTLin1,27496.500,5.000,5.000
Opto1,27520.750,224.250,204.250
TTLin1,27996.250,5.000,5.000
Opto1,28020.250,224.250,204.250
TTLin1,28496.250,5.000,5.000
Opto1,28519.750,224.750,204.750
TTLin1,28996.250,5.000,5.000
Opto1,29019.750,224.500,204.500
TTLin1,29495.750,5.250,5.250
Opto1,29519.500,224.250,204.250
TTLin1,29995.750,5.000,5.000
Opto1,30019.250,224.250,204.250
TTLin1,30495.500,5.000,5.000
Opto1,30518.750,224.500,204.500
TTLin1,30995.000,5.250,5.250
Opto1,31018.500,224.500,204.500
TTLin1,31495.000,5.250,5.250
Opto1,31518.250,224.250,204.250
TTLin1,31994.750,5.000,5.000
Opto1,32018.000,224.250,204.250
TTLin1,32494.500,5.000,5.000
Opto1,32517.750,224.250,204.250
TTLin1,32994.250,5.000,5.000
Opto1,33017.250,224.500,204.500
TTLin1,33494.000,5.000,5.000
Opto1,33517.250,224.250,204.250
TTLin1,33993.500,5.000,5.000
Opto1,34017.000,224.250,204.250
TTLin1,34493.250,5.250,5.250
Opto1,34516.750,224.250,204.250
TTLin1,34993.000,5.000,5.000
Opto1,35016.250,224.500,204.500
TTLin1,35492.750,5.000,5.000
Opto1,35515.750,224.500,204.500
TTLin1,35992.500,5.000,5.000
Opto1,36015.500,224.750,204.750
TTLin1,36492.250,5.000,5.000
Opto1,36515.500,224.250,204.250
TTLin1,36991.750,5.250,5.250
Opto1,37015.250,224.000,204.000
TTLin1,37491.500,5.250,5.250
Opto1,37515.000,224.250,204.250
TTLin1,37991.000,5.000,5.000
Opto1,38014.500,224.250,204.250
