Type,Onset,Duration,DurationCorrected
Opto1,0.250,4185.750,4165.750
TTLin1,5503.250,183.000,183.000
Opto1,5534.500,224.500,204.500
TTLin1,6006.250,183.500,183.500
Opto1,6034.250,224.500,204.500
TTLin1,6506.250,183.250,183.250
Opto1,6534.000,224.500,204.500
TTLin1,7007.500,183.250,183.250
Opto1,7033.750,224.500,204.500
TTLin1,7507.250,183.000,183.000
Opto1,7533.500,224.500,204.500
TTLin1,8007.750,183.250,183.250
Opto1,8033.250,224.250,204.250
TTLin1,8507.500,183.250,183.250
Opto1,8533.000,224.250,204.250
TTLin1,9007.500,183.500,183.500
Opto1,9032.750,224.250,204.250
TTLin1,9507.500,183.250,183.250
Opto1,9532.250,224.500,204.500
TTLin1,10007.250,183.250,183.250
Opto1,10032.000,224.500,204.500
TTLin1,10506.750,183.500,183.500
Opto1,10531.500,224.500,204.500
TTLin1,11007.000,183.250,183.250
Opto1,11031.250,224.500,204.500
TTLin1,11506.500,183.500,183.500
Opto1,11531.250,224.500,204.500
TTLin1,12006.500,183.250,183.250
Opto1,12031.000,224.000,204.000
TTLin1,12506.250,183.250,183.250
Opto1,12530.500,224.500,204.500
TTLin1,13006.000,183.250,183.250
Opto1,13030.250,224.500,204.500
TTLin1,13522.500,183.250,183.250
Opto1,13546.750,224.500,204.500
TTLin1,14022.250,183.250,183.250
Opto1,14046.250,224.250,204.250
TTLin1,14522.000,183.250,183.250
Opto1,14546.250,224.250,204.250
TTLin1,15021.750,183.750,183.750
Opto1,15045.750,224.500,204.500
TTLin1,15522.000,183.000,183.000
Opto1,15545.250,224.750,204.750
TTLin1,16021.500,183.250,183.250
Opto1,16045.000,224.500,204.500
TTLin1,16521.250,183.250,183.250
Opto1,16545.000,224.250,204.250
TTLin1,17021.000,183.250,183.250
Opto1,17044.750,224.250,204.250
TTLin1,17520.750,183.250,183.250
Opto1,17544.250,224.500,204.500
TTLin1,18020.500,183.250,183.250
Opto1,18044.000,224.500,204.500
TTLin1,18520.000,183.250,183.250
Opto1,18543.750,224.500,204.500
TTLin1,19019.750,183.250,183.250
Opto1,19043.500,224.250,204.250
TTLin1,19519.500,183.250,183.250
Opto1,19543.250,224.250,204.250
TTLin1,20019.250,183.250,183.250
Opto1,20042.750,224.750,204.750
TTLin1,20519.000,183.000,183.000
Opto1,20542.500,224.500,204.500
TTLin1,21018.500,183.250,183.250
Opto1,21042.250,224.500,204.500
TTLin1,21518.250,183.250,183.250
Opto1,21542.000,224.250,204.250
TTLin1,22018.000,183.250,183.250
Opto1,22041.750,224.250,204.250
TTLin1,22517.750,183.250,183.250
Opto1,22541.250,224.500,204.500
TTLin1,23017.250,183.250,183.250
Opto1,23041.250,224.500,204.500
TTLin1,23520.750,195.500,195.500
Opto1,23557.500,224.500,204.500
TTLin1,24032.500,184.000,184.000
Opto1,24057.250,224.250,204.250
TTLin1,24533.000,183.250,183.250
Opto1,24556.750,224.750,204.750
TTLin1,25032.750,183.250,183.250
Opto1,25056.750,224.500,204.500
TTLin1,25532.500,183.250,183.250
Opto1,25556.500,224.250,204.250
TTLin1,26032.000,183.250,183.250
Opto1,26056.250,224.000,204.000
TTLin1,26531.750,183.250,183.250
Opto1,26555.750,224.500,204.500
TTLin1,27031.500,183.250,183.250
Opto1,27055.500,224.500,204.500
TTLin1,27531.250,183.250,183.250
Opto1,27555.250,224.500,204.500
TTLin1,28031.000,183.250,183.250
Opto1,28054.750,224.750,204.750
TTLin1,28530.500,183.250,183.250
Opto1,28554.500,224.500,204.500
TTLin1,29030.250,183.250,183.250
Opto1,29054.250,224.500,204.500
