Type,Onset,Duration,DurationCorrected
TTLin1,216.250,5.250,5.250
Opto1,239.500,224.750,204.750
TTLin1,719.500,5.250,5.250
Opto1,739.250,225.000,205.000
TTLin1,1219.250,5.250,5.250
Opto1,1238.750,225.000,205.000
TTLin1,1719.000,5.000,5.000
Opto1,1738.750,224.500,204.500
TTLin1,2218.750,5.000,5.000
Opto1,2238.500,224.750,204.750
TTLin1,2718.500,5.000,5.000
Opto1,2738.000,225.000,205.000
TTLin1,3218.000,5.250,5.250
Opto1,3237.750,225.000,205.000
TTLin1,3717.750,5.000,5.000
Opto1,3737.250,225.000,205.000
TTLin1,4217.500,5.250,5.250
Opto1,4237.000,225.000,205.000
TTLin1,4717.250,5.000,5.000
Opto1,4737.000,224.750,204.750
TTLin1,5216.750,5.250,5.250
Opto1,5236.750,224.500,204.500
TTLin1,5716.500,5.250,5.250
Opto1,5736.250,224.750,204.750
TTLin1,6216.250,5.250,5.250
Opto1,6236.000,225.000,205.000
TTLin1,6728.000,5.250,5.250
Opto1,6752.500,224.750,204.750
TTLin1,7227.500,5.250,5.250
Opto1,7252.000,225.000,205.000
TTLin1,7727.250,5.250,5.250
Opto1,7751.750,241.750,221.750
TTLin1,8241.500,5.250,5.250
Opto1,8268.250,224.750,204.750
TTLin1,8741.500,5.250,5.250
Opto1,8768.000,224.750,204.750
TTLin1,9241.000,5.250,5.250
Opto1,9267.750,224.750,204.750
TTLin1,9740.750,5.250,5.250
Opto1,9767.250,225.000,205.000
TTLin1,10241.250,5.000,5.000
Opto1,10267.000,224.750,204.750
TTLin1,10741.250,5.250,5.250
Opto1,10766.750,224.750,204.750
TTLin1,11241.500,5.250,5.250
Opto1,11266.500,224.750,204.750
TTLin1,11741.250,5.250,5.250
Opto1,11766.250,224.750,204.750
TTLin1,12244.000,5.000,5.000
Opto1,12265.750,225.000,205.000
TTLin1,12743.500,5.000,5.000
Opto1,12765.500,225.000,205.000
TTLin1,13243.250,5.250,5.250
Opto1,13265.250,225.000,205.000
TTLin1,13743.000,5.250,5.250
Opto1,13765.000,224.750,204.750
TTLin1,14242.750,5.250,5.250
Opto1,14264.500,225.000,205.000
TTLin1,14742.500,5.250,5.250
Opto1,14764.500,224.750,204.750
TTLin1,15244.750,5.000,5.000
Opto1,15264.250,224.750,204.750
TTLin1,15744.250,5.250,5.250
Opto1,15764.000,224.750,204.750
TTLin1,16244.250,5.000,5.000
Opto1,16263.500,224.750,204.750
TTLin1,16743.750,5.250,5.250
Opto1,16763.250,225.000,205.000
TTLin1,17243.500,5.250,5.250
Opto1,17263.000,224.750,204.750
TTLin1,17746.250,5.000,5.000
Opto1,17762.750,224.750,204.750
TTLin1,18245.750,5.250,5.250
Opto1,18262.500,224.750,204.750
TTLin1,18751.750,5.000,5.000
Opto1,18778.750,225.000,205.000
TTLin1,19251.500,5.000,5.000
Opto1,19278.500,225.000,205.000
TTLin1,19751.250,5.000,5.000
Opto1,19778.000,225.000,205.000
TTLin1,20252.000,5.250,5.250
Opto1,20277.750,225.000,205.000
TTLin1,20751.750,5.000,5.000
Opto1,20777.500,225.000,205.000
TTLin1,21252.000,5.250,5.250
Opto1,21277.250,225.000,205.000
TTLin1,21751.750,5.250,5.250
Opto1,21777.000,224.750,204.750
TTLin1,22252.250,5.250,5.250
Opto1,22276.750,225.000,205.000
TTLin1,22752.000,5.250,5.250
Opto1,22776.500,224.750,204.750
TTLin1,23251.750,5.250,5.250
Opto1,23276.250,224.500,204.500
TTLin1,23751.500,5.250,5.250
Opto1,23776.000,224.750,204.750
TTLin1,24254.250,5.000,5.000
Opto1,24275.500,224.750,204.750
TTLin1,24754.000,5.250,5.250
Opto1,24775.250,225.000,205.000
TTLin1,25253.750,5.000,5.000
Opto1,25275.000,225.000,205.000
TTLin1,25753.500,5.000,5.000
Opto1,25774.750,224.750,204.750
TTLin1,26253.000,5.250,5.250
Opto1,26274.250,225.000,205.000
TTLin1,26752.750,5.250,5.250
Opto1,26774.000,225.000,205.000
TTLin1,27252.500,5.250,5.250
Opto1,27273.750,225.000,205.000
TTLin1,27752.250,5.250,5.250
Opto1,27773.500,225.000,205.000
TTLin1,28252.000,5.250,5.250
Opto1,28273.250,225.000,205.000
TTLin1,28751.750,5.250,5.250
Opto1,28773.000,224.500,204.500
TTLin1,29251.500,5.000,5.000
Opto1,29272.750,224.750,204.750
TTLin1,29751.250,5.250,5.250
Opto1,29772.250,224.750,204.750
TTLin1,30250.750,5.250,5.250
Opto1,30272.000,224.750,204.750
TTLin1,30764.000,5.250,5.250
Opto1,30788.500,224.750,204.750
TTLin1,31263.750,5.250,5.250
Opto1,31288.250,224.750,204.750
TTLin1,31763.500,5.250,5.250
Opto1,31788.000,224.750,204.750
TTLin1,32263.500,5.250,5.250
Opto1,32287.750,224.750,204.750
TTLin1,32763.250,5.250,5.250
Opto1,32787.250,225.000,205.000
TTLin1,33263.000,5.250,5.250
Opto1,33287.000,225.000,205.000
TTLin1,33762.750,5.000,5.000
Opto1,33786.750,224.750,204.750
TTLin1,34262.250,5.250,5.250
Opto1,34286.250,225.000,205.000
TTLin1,34762.250,5.000,5.000
Opto1,34786.250,224.500,204.500
TTLin1,35261.750,5.250,5.250
Opto1,35285.750,225.000,205.000
TTLin1,35761.500,5.250,5.250
Opto1,35785.750,224.500,204.500
TTLin1,36261.250,5.250,5.250
Opto1,36285.250,224.750,204.750
TTLin1,36761.000,5.250,5.250
Opto1,36785.000,224.750,204.750
TTLin1,37260.750,5.000,5.000
Opto1,37284.500,225.000,205.000
TTLin1,37760.250,5.250,5.250
Opto1,37784.500,241.250,221.250
TTLin1,38274.250,5.000,5.000
Opto1,38300.750,225.000,205.000
TTLin1,38773.750,5.250,5.250
Opto1,38800.500,225.000,205.000
TTLin1,39273.750,5.000,5.000
Opto1,39300.250,224.750,204.750
TTLin1,39774.500,5.000,5.000
Opto1,39800.000,224.750,204.750
TTLin1,40274.500,5.000,5.000
Opto1,40299.750,224.500,204.500
TTLin1,40774.250,5.250,5.250
Opto1,40799.500,224.500,204.500
TTLin1,41274.250,5.250,5.250
Opto1,41299.000,224.750,204.750
TTLin1,41774.000,5.250,5.250
Opto1,41798.750,224.750,204.750
TTLin1,42273.750,5.000,5.000
Opto1,42298.500,225.000,205.000
TTLin1,42790.000,5.250,5.250
Opto1,42814.750,225.000,205.000
TTLin1,43289.750,5.250,5.250
Opto1,43314.500,225.000,205.000
TTLin1,43789.500,5.250,5.250
Opto1,43814.250,241.500,221.500
TTLin1,44304.500,5.250,5.250
Opto1,44330.500,225.000,205.000
TTLin1,44804.250,5.000,5.000
Opto1,44830.250,225.000,205.000
TTLin1,45304.000,5.250,5.250
Opto1,45330.000,224.750,204.750
TTLin1,45804.500,5.250,5.250
Opto1,45829.750,224.750,204.750
TTLin1,46304.250,5.000,5.000
Opto1,46329.500,224.500,204.500
TTLin1,46804.250,5.250,5.250
Opto1,46829.000,225.000,205.000
TTLin1,47304.250,5.250,5.250
Opto1,47329.000,224.750,204.750
TTLin1,47804.000,5.250,5.250
Opto1,47828.500,224.750,204.750
TTLin1,48304.000,5.000,5.000
Opto1,48328.500,224.750,204.750
TTLin1,48803.750,5.000,5.000
Opto1,48828.000,225.000,205.000
TTLin1,49303.250,5.250,5.250
Opto1,49327.750,224.750,204.750
TTLin1,49803.250,5.000,5.000
Opto1,49827.500,224.750,204.750
TTLin1,50303.000,5.250,5.250
Opto1,50327.000,225.000,205.000
TTLin1,50802.750,5.250,5.250
Opto1,50826.750,225.000,205.000
TTLin1,51302.500,5.250,5.250
Opto1,51326.500,225.000,205.000
TTLin1,51802.250,5.000,5.000
Opto1,51826.250,225.000,205.000
TTLin1,52301.750,5.250,5.250
Opto1,52326.000,224.750,204.750
TTLin1,52801.500,5.000,5.000
Opto1,52825.750,224.750,204.750
TTLin1,53301.250,5.250,5.250
Opto1,53325.500,224.750,204.750
TTLin1,53801.000,5.000,5.000
Opto1,53825.000,225.000,205.000
TTLin1,54300.750,5.000,5.000
Opto1,54324.750,225.000,205.000
TTLin1,54816.250,5.250,5.250
Opto1,54841.250,224.750,204.750
TTLin1,55316.250,5.250,5.250
Opto1,55341.000,224.750,204.750
TTLin1,55816.000,5.250,5.250
Opto1,55840.500,224.750,204.750
TTLin1,56316.000,5.250,5.250
Opto1,56340.250,225.000,205.000
TTLin1,56815.750,5.000,5.000
Opto1,56840.000,224.750,204.750
TTLin1,57315.250,5.250,5.250
Opto1,57339.750,224.750,204.750
TTLin1,57815.000,5.250,5.250
Opto1,57839.500,224.750,204.750
TTLin1,58314.750,5.250,5.250
Opto1,58339.000,225.000,205.000
TTLin1,58814.500,5.000,5.000
Opto1,58838.750,225.000,205.000
TTLin1,59314.000,5.250,5.250
Opto1,59338.500,225.000,205.000
TTLin1,59813.750,5.250,5.250
Opto1,59838.250,224.750,204.750
TTLin1,60313.500,5.250,5.250
Opto1,60338.000,224.750,204.750
TTLin1,60813.250,5.250,5.250
Opto1,60837.750,224.750,204.750
TTLin1,61313.000,5.250,5.250
Opto1,61337.250,224.750,204.750
TTLin1,61812.750,5.250,5.250
Opto1,61837.250,224.750,204.750
TTLin1,62312.500,5.250,5.250
Opto1,62336.750,224.750,204.750
TTLin1,62812.250,5.000,5.000
Opto1,62836.500,224.750,204.750
TTLin1,63311.750,5.250,5.250
Opto1,63336.250,225.000,205.000
TTLin1,63812.500,5.000,5.000
Opto1,63836.000,224.750,204.750
TTLin1,64312.250,5.000,5.000
Opto1,64335.500,225.000,205.000
TTLin1,64811.750,5.250,5.250
Opto1,64835.500,224.750,204.750
TTLin1,65311.500,5.250,5.250
Opto1,65335.000,225.000,205.000
TTLin1,65811.250,5.250,5.250
Opto1,65834.750,224.750,204.750
TTLin1,66313.250,5.000,5.000
Opto1,66334.500,224.750,204.750
TTLin1,66826.250,5.000,5.000
Opto1,66851.000,224.750,204.750
TTLin1,67326.000,5.250,5.250
Opto1,67350.500,224.750,204.750
TTLin1,67825.750,5.250,5.250
Opto1,67850.250,241.500,221.500
TTLin1,68340.500,5.250,5.250
Opto1,68366.500,225.000,205.000
TTLin1,68840.250,5.250,5.250
Opto1,68866.500,224.750,204.750
TTLin1,69340.000,5.250,5.250
Opto1,69366.250,224.750,204.750
TTLin1,69840.000,5.250,5.250
Opto1,69865.750,225.000,205.000
TTLin1,70340.500,5.000,5.000
Opto1,70365.500,224.750,204.750
TTLin1,70840.250,5.000,5.000
Opto1,70865.250,224.750,204.750
TTLin1,71340.750,5.250,5.250
Opto1,71365.000,224.500,204.500
TTLin1,71840.500,5.250,5.250
Opto1,71864.500,225.000,205.000
TTLin1,72340.250,5.250,5.250
Opto1,72364.250,225.000,205.000
TTLin1,72840.000,5.000,5.000
Opto1,72864.250,224.750,204.750
TTLin1,73342.250,5.250,5.250
Opto1,73363.750,224.750,204.750
TTLin1,73842.000,5.250,5.250
Opto1,73863.500,224.750,204.750
TTLin1,74341.500,5.250,5.250
Opto1,74363.250,224.750,204.750
TTLin1,74841.250,5.250,5.250
Opto1,74863.000,225.000,205.000
TTLin1,75341.000,5.250,5.250
Opto1,75362.750,224.500,204.500
TTLin1,75840.750,5.000,5.000
Opto1,75862.250,225.000,205.000
TTLin1,76340.750,5.250,5.250
Opto1,76362.000,225.000,205.000
TTLin1,76840.500,5.000,5.000
Opto1,76861.750,224.750,204.750
TTLin1,77340.250,5.000,5.000
Opto1,77361.500,224.750,204.750
TTLin1,77840.000,5.000,5.000
Opto1,77861.250,225.000,205.000
TTLin1,78341.750,5.250,5.250
Opto1,78360.750,225.000,205.000
TTLin1,78852.500,5.250,5.250
Opto1,78877.250,224.750,204.750
TTLin1,79352.250,5.250,5.250
Opto1,79377.000,224.750,204.750
TTLin1,79852.000,5.250,5.250
Opto1,79876.750,241.500,221.500
TTLin1,80366.500,5.250,5.250
Opto1,80393.000,225.000,205.000
TTLin1,80866.250,5.250,5.250
Opto1,80892.750,224.750,204.750
TTLin1,81366.000,5.250,5.250
Opto1,81392.500,225.000,205.000
TTLin1,81865.750,5.250,5.250
Opto1,81892.250,224.750,204.750
TTLin1,82368.750,5.000,5.000
Opto1,82392.000,224.500,204.500
TTLin1,82868.500,5.000,5.000
Opto1,82891.750,224.750,204.750
TTLin1,83368.000,5.250,5.250
Opto1,83391.500,224.750,204.750
TTLin1,83867.750,5.250,5.250
Opto1,83891.000,224.750,204.750
TTLin1,84367.500,5.250,5.250
Opto1,84390.750,225.000,205.000
TTLin1,84867.250,5.250,5.250
