Type,Onset,Duration,DurationCorrected
TTLin1,10687.500,183.250,183.250
Opto1,10725.750,225.000,205.000
TTLin1,11187.250,183.250,183.250
Opto1,11225.250,225.000,205.000
TTLin1,11686.750,183.250,183.250
Opto1,11725.250,224.750,204.750
TTLin1,12186.500,183.250,183.250
Opto1,12225.000,224.500,204.500
TTLin1,12686.250,183.250,183.250
Opto1,12724.750,224.500,204.500
TTLin1,13186.000,183.250,183.250
Opto1,13224.250,224.750,204.750
TTLin1,13685.750,183.250,183.250
Opto1,13724.000,224.750,204.750
TTLin1,14185.500,183.250,183.250
Opto1,14223.750,224.750,204.750
TTLin1,14685.250,183.250,183.250
Opto1,14723.500,224.750,204.750
TTLin1,15185.000,183.250,183.250
Opto1,15223.000,225.000,205.000
TTLin1,15684.500,183.500,183.500
Opto1,15723.000,224.750,204.750
TTLin1,16184.250,183.250,183.250
Opto1,16222.500,225.000,205.000
TTLin1,16684.000,183.250,183.250
Opto1,16722.250,224.750,204.750
TTLin1,17183.750,183.250,183.250
Opto1,17222.000,224.750,204.750
TTLin1,17683.500,183.250,183.250
Opto1,17721.500,225.000,205.000
TTLin1,18183.250,183.250,183.250
Opto1,18221.250,224.750,204.750
TTLin1,18683.000,183.250,183.250
Opto1,18721.000,225.000,205.000
TTLin1,19182.750,183.250,183.250
Opto1,19221.000,224.500,204.500
TTLin1,19682.250,183.250,183.250
Opto1,19720.500,225.000,205.000
TTLin1,20182.000,183.250,183.250
Opto1,20220.250,224.750,204.750
TTLin1,20681.750,183.250,183.250
Opto1,20720.000,224.750,204.750
TTLin1,21181.500,183.250,183.250
Opto1,21219.750,224.750,204.750
TTLin1,21681.250,183.250,183.250
Opto1,21719.250,225.000,205.000
TTLin1,22181.000,183.250,183.250
Opto1,22219.000,224.750,204.750
TTLin1,22680.750,183.250,183.250
Opto1,22718.750,225.000,205.000
TTLin1,23180.250,183.250,183.250
Opto1,23218.500,225.000,205.000
TTLin1,23680.000,183.250,183.250
Opto1,23718.250,224.750,204.750
TTLin1,24179.750,183.250,183.250
Opto1,24218.000,224.750,204.750
TTLin1,24679.500,183.250,183.250
Opto1,24717.750,224.750,204.750
TTLin1,25179.250,183.250,183.250
Opto1,25217.250,224.750,204.750
TTLin1,25679.000,183.250,183.250
Opto1,25717.250,224.750,204.750
TTLin1,26178.750,183.250,183.250
Opto1,26217.000,224.500,204.500
TTLin1,26678.250,183.250,183.250
Opto1,26716.500,224.750,204.750
TTLin1,27178.000,183.250,183.250
Opto1,27216.250,224.750,204.750
TTLin1,27677.750,183.250,183.250
Opto1,27715.750,225.000,205.000
TTLin1,28177.500,183.250,183.250
Opto1,28215.750,224.750,204.750
TTLin1,28677.250,183.250,183.250
Opto1,28715.250,225.000,205.000
TTLin1,29176.750,183.250,183.250
Opto1,29215.250,224.500,204.500
TTLin1,29676.500,183.250,183.250
Opto1,29714.750,224.750,204.750
TTLin1,30176.250,183.250,183.250
Opto1,30214.250,225.000,205.000
